(200, 200, 200, 200),(25, 25, 25, 25),(True, True, True, True):1.5303583303681765,27.362530358327835,41.87447627381913,0.43
(800, 1000, 1000, 1000),(25, 25, 25, 25),(True, True, True, True):6.269626199733939,26.40726962619246,165.56370951181452,0.45
(1000, 1000, 1000, 1000),(25, 25, 25, 25),(True, True, True, True):7.5586121830796325,24.968558612174522,188.72765131992023,0.48
(600, 600, 600, 600),(25, 25, 25, 25),(True, True, True, True):4.562945568086516,26.40556294556252,120.48714641528402,0.45
(1000, 800, 1000, 1000),(25, 25, 25, 25),(True, True, True, True):6.269626199720298,26.407269626192445,165.5637095114542,0.45
(400, 400, 400, 800),(25, 25, 25, 25),(True, True, True, True):3.0891863125410364,27.36408918630846,84.53276976949627,0.43
(800, 800, 800, 800),(25, 25, 25, 25),(True, True, True, True):6.126464617433777,25.447126464610317,155.9009199007978,0.47
(1000, 1000, 600, 1000),(25, 25, 25, 25),(True, True, True, True):7.6206934822047705,17.768620693473586,135.40921190652296,0.63
(400, 400, 400, 400),(25, 25, 25, 25),(True, True, True, True):3.065158995147044,26.884065158991078,82.40393414820075,0.44
(600, 600, 800, 600),(25, 25, 25, 25),(True, True, True, True):4.649067994106506,26.40564906798845,122.76165794559338,0.45
(1000, 400, 400, 400),(25, 25, 25, 25),(True, True, True, True):3.0925806906496582,27.36409258068656,84.62566433218083,0.43
(400, 800, 400, 400),(25, 25, 25, 25),(True, True, True, True):3.089186312541916,27.364089186308455,84.53276976952034,0.43
(200, 200, 1000, 200),(25, 25, 25, 25),(True, True, True, True):1.5526177177634939,27.84255261771521,43.22884050202698,0.42
(1000, 1000, 200, 1000),(25, 25, 25, 25),(True, True, True, True):7.619465774258061,17.768619465765642,135.38738787521686,0.63
(200, 200, 200, 600),(25, 25, 25, 25),(True, True, True, True):1.550878142618872,27.84255087814007,43.18040359166132,0.42
(1000, 800, 800, 800),(25, 25, 25, 25),(True, True, True, True):6.1168202615636345,25.927116820254447,158.59151349005973,0.46
(200, 1000, 1000, 1000),(25, 25, 25, 25),(True, True, True, True):7.619465774257914,17.768619465765642,135.38738787521424,0.63
(200, 1000, 200, 200),(25, 25, 25, 25),(True, True, True, True):1.5526177177513876,27.842552617715196,43.22884050168989,0.42
(600, 200, 600, 600),(25, 25, 25, 25),(True, True, True, True):4.622242067972381,18.72562224206235,86.55435887621988,0.61
